Phone Number,Name,Indian Dishes,English Dishes,Beverages,Amount,Feedback,Time
555-5742773,Vikram Reddy,Poha,Oatmeal with honey,,80,Great taste!,2023-10-03 10:09:00
555-8762027,Anjali Desai,Poha,Sandwich,Pepsi,120,Great taste!,2023-10-09 10:04:00
555-5902253,Vikram Reddy,,Waffles,Pepsi,90,Great taste!,2023-10-04 18:02:00
555-7154053,Mark Wilson,Aloo Paratha,Waffles,,90,Amazing experience!,2023-10-03 00:00:00
555-6714468,Harish Singh,Akki Roti,,Coke,100,Delicious but a bit expensive.,2023-10-01 00:00:00
555-6294817,Suresh Iyer,Idli,Waffles,Pepsi,110,Best Idli I've had in Whitefield!,2023-10-03 00:00:00
555-5545959,Amit Kumar,Plain Dosa,Pancake,Coke,150,Taste was good but service was slow.,2023-10-09 00:00:00
555-6222636,Lisa Roberts,,Oatmeal with honey,,50,Healthy and tasty.,2023-10-04 00:00:00
555-9322527,Maria Lopez,Aloo Paratha,Sandwich,Pepsi,130,Not as good as other places nearby.,2023-10-03 00:00:00
555-7465981,Ravi Shankar,Poha,Waffles,Coke,130,Fast service and great taste!,2023-10-04 00:00:00
555-8695741,John Doe,Akki Roti,Pancake,,130,Too oily for my liking.,2023-10-11 00:00:00
555-9143759,Emma Wilson,Idli,,Pepsi,60,Soft and fresh! Highly recommend.,2023-10-05 00:00:00
555-6312574,Kavita Rao,Plain Dosa,,Coke,70,Better than other South Indian restaurants!,2023-10-07 00:00:00
555-4825143,Rajesh Mehta,,Waffles,Pepsi,90,Service was great but waffles were average.,2023-10-04 00:00:00
555-7154053,Mark Wilson,Aloo Paratha,Waffles,,90,Amazing experience! Suggest adding more spice options.,2023-10-03 00:00:00
555-6714468,Harish Singh,Akki Roti,,Coke,100,Delicious but a bit expensive. Would be better with more variety.,2023-10-01 00:00:00
555-6294817,Suresh Iyer,Idli,Waffles,Pepsi,110,Best Idli I've had in Whitefield! Advise a cleaner presentation.,2023-10-03 00:00:00
555-5545959,Amit Kumar,Plain Dosa,Pancake,Coke,150,Taste was good but service was slow. It would be great if the flavors were stronger.,2023-10-09 00:00:00
555-6222636,Lisa Roberts,,Oatmeal with honey,,50,Healthy and tasty. Would be better with more variety.,2023-10-04 00:00:00
555-9322527,Maria Lopez,Aloo Paratha,Sandwich,Pepsi,130,Not as good as other places nearby. Need to enhance customer service.,2023-10-03 00:00:00
555-7465981,Ravi Shankar,Poha,Waffles,Coke,130,Fast service and great taste! Could improve the portion size.,2023-10-04 00:00:00
555-8695741,John Doe,Akki Roti,Pancake,,130,Too oily for my liking. Could improve the portion size.,2023-10-11 00:00:00
555-9143759,Emma Wilson,Idli,,Pepsi,60,Soft and fresh! Highly recommend. It would be great if the flavors were stronger.,2023-10-05 00:00:00
555-6312574,Kavita Rao,Plain Dosa,,Coke,70,Better than other South Indian restaurants! Advise a cleaner presentation.,2023-10-07 00:00:00
555-4825143,Rajesh Mehta,,Waffles,Pepsi,90,Service was great but waffles were average. Would recommend fresher ingredients.,2023-10-04 00:00:00

